Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Team,MP.1,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_Ast,Expected_xAG,Expected_xA,Expected_A-xAG,Expected_KP,Expected_1/3,Expected_PPA,Expected_CrsPA,Expected_PrgP
Elijah Adebayo,eng ENG,FW,25.0,,16,1419.0,15.8,10.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,5.9,5.9,0.7,6.6,16.0,23.0,110.0,0.63,0.0,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42,Matches,Luton Town,27.0,,,,,,,,,,,,,,,,10.0,31.0,14.0,45.2,1.97,0.89,0.32,0.71,9.6,0.0,0.0,0.0,5.9,5.9,0.19,4.1,4.1,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23
Albert Sambi Lokonga,be BEL,MF,23.0,,16,1303.0,14.5,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.4,2.0,29.0,72.0,13.0,0.07,0.21,0.28,0.07,0.28,0.04,0.1,0.14,0.04,0.14,Matches,Luton Town,17.0,,,,,,,,,,,,,,,,1.0,8.0,2.0,25.0,0.55,0.14,0.13,0.5,20.9,0.0,0.0,0.0,0.6,0.6,0.08,0.4,0.4,669,766,87.3,11099,3318,319,348,91.7,253,285,88.8,55,76,72.4,3,1.4,0.8,+1.6,9,68,6,1,72
Jordan Clark,eng ENG,MF,29.0,,14,1304.0,14.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.3,2.2,21.0,51.0,39.0,0.07,0.07,0.14,0.07,0.14,0.07,0.09,0.16,0.07,0.16,Matches,Luton Town,23.0,,,,,,,,,,,,,,,,1.0,17.0,4.0,23.5,1.17,0.28,0.06,0.25,16.9,0.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0,369,513,71.9,6108,1636,180,231,77.9,136,173,78.6,33,63,52.4,1,1.3,1.2,-0.3,12,19,18,4,51
Andros Townsend,eng ENG,"MF,FW",32.0,,14,1210.0,13.4,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.3,2.5,47.0,35.0,71.0,0.07,0.22,0.3,0.07,0.3,0.09,0.1,0.19,0.09,0.19,Matches,Luton Town,27.0,,,,,,,,,,,,,,,,1.0,20.0,7.0,35.0,1.49,0.52,0.05,0.14,23.7,2.0,0.0,0.0,1.2,1.2,0.06,-0.2,-0.2,304,432,70.4,5162,1225,148,173,85.5,111,147,75.5,32,74,43.2,3,1.3,1.8,+1.7,18,23,16,12,35
Tom Lockyer,wls WAL,DF,28.0,,14,1169.0,13.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,0.6,1.7,6.0,37.0,2.0,0.08,0.08,0.15,0.08,0.15,0.08,0.05,0.13,0.08,0.13,Matches,Luton Town,14.0,,,,,,,,,,,,,,,,1.0,7.0,1.0,14.3,0.54,0.08,0.14,1.0,8.5,0.0,0.0,0.0,1.1,1.1,0.15,-0.1,-0.1,301,422,71.3,6628,3120,81,104,77.9,158,189,83.6,57,113,50.4,1,0.6,0.3,+0.4,3,37,4,0,37
Marvelous Nakamba,zw ZIM,MF,29.0,,13,1130.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.4,0.6,1.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,Matches,Luton Town,13.0,,,,,,,,,,,,,,,,0.0,5.0,0.0,0.0,0.4,0.0,0.0,,23.6,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,356,423,84.2,5622,1605,184,203,90.6,126,143,88.1,27,42,64.3,0,0.4,0.5,-0.4,7,27,2,1,36
Jacob Brown,sct SCO,"MF,FW",25.0,,12,1019.0,11.3,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.8,2.8,0.7,3.4,25.0,19.0,53.0,0.18,0.0,0.18,0.18,0.18,0.25,0.06,0.3,0.25,0.3,Matches,Luton Town,19.0,,,,,,,,,,,,,,,,2.0,26.0,6.0,23.1,2.3,0.53,0.08,0.33,14.1,0.0,0.0,0.0,2.8,2.8,0.11,-0.8,-0.8,136,247,55.1,1865,626,91,127,71.7,35,56,62.5,6,24,25.0,0,0.7,0.4,-0.7,8,6,3,1,19
Pelly Ruddock Mpanzu,cd COD,MF,30.0,,11,1101.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.4,1.1,10.0,34.0,15.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,Luton Town,27.0,,,,,,,,,,,,,,,,0.0,11.0,1.0,9.1,0.9,0.08,0.0,0.0,19.7,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,268,364,73.6,4413,1102,123,141,87.2,110,143,76.9,16,36,44.4,0,0.4,1.4,-0.4,6,17,13,2,34
Daiki Hashioka,jp JPN,DF,24.0,,6,595.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.8,3.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches,Luton Town,10.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.3,0.0,0.0,,18.1,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,227,282,80.5,3875,1580,101,108,93.5,107,126,84.9,16,34,47.1,0,0.7,0.3,-0.7,3,14,4,3,21
Ryan John Giles,eng ENG,"DF,MF",23.0,,5,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,9.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches,Luton Town,11.0,,,,,,,,,,,,,,,,0.0,2.0,2.0,100.0,0.36,0.36,0.0,0.0,14.2,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,140,218,64.2,2294,949,74,85,87.1,56,85,65.9,9,39,23.1,0,0.2,0.6,-0.2,5,10,10,6,17
