Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Team,MP.1,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_Ast,Expected_xAG,Expected_xA,Expected_A-xAG,Expected_KP,Expected_1/3,Expected_PPA,Expected_CrsPA,Expected_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err
Steven Alzate,co COL,MF,24.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigo Atom,de GER,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Barrington,eng ENG,MF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samy Chouchane,tn TUN,MF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Duffus,eng ENG,MF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Jackson,eng ENG,DF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leigh Kavanagh,ie IRL,DF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Peupion,au AUS,MF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imari Samuels,eng ENG,DF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illia Zabarnyi,ua UKR,DF,20.0,,37,3330.0,37.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.1,1.1,0.4,1.5,24.0,109.0,1.0,0.03,0.0,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,Matches,Bournemouth,37.0,,,,,,,,,,,,,,,,1.0,8.0,2.0,25.0,0.22,0.05,0.13,0.5,7.5,0.0,0.0,0.0,1.1,1.1,0.14,-0.1,-0.1,1471.0,1805.0,81.5,30757.0,10546.0,392.0,458.0,85.6,880.0,952.0,92.4,188.0,362.0,51.9,0.0,0.4,0.6,-0.4,7.0,127.0,11.0,0.0,109.0,1755.0,49.0,42.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1471.0,1.0,11.0,27.0,0.73,26.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,59,32,29,29,1,23,50,46.0,27,53,34,19,33,92,143,4
Dominic Solanke,eng ENG,FW,25.0,,37,3325.0,36.9,19.0,3.0,22.0,17.0,2.0,3.0,3.0,0.0,19.6,17.2,3.0,20.3,52.0,60.0,184.0,0.51,0.08,0.6,0.46,0.54,0.53,0.08,0.61,0.47,0.55,Matches,Bournemouth,38.0,,,,,,,,,,,,,,,,19.0,106.0,35.0,33.0,2.87,0.95,0.16,0.49,12.2,0.0,2.0,3.0,19.6,17.2,0.16,-0.6,-0.2,400.0,544.0,73.5,5026.0,1387.0,262.0,315.0,83.2,93.0,127.0,73.2,11.0,18.0,61.1,3.0,3.0,2.0,0.0,39.0,32.0,24.0,3.0,60.0,485.0,58.0,0.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,400.0,1.0,30.0,79.0,2.14,61.0,0.0,6.0,5.0,4.0,3.0,6.0,0.16,4.0,0.0,2.0,0.0,0.0,0.0,23,11,3,13,7,10,29,34.5,19,24,5,19,7,30,43,0
Ryan Christie,sct SCO,MF,28.0,,35,2907.0,32.3,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,2.3,2.3,5.4,7.7,60.0,167.0,78.0,0.0,0.15,0.15,0.0,0.15,0.07,0.17,0.24,0.07,0.24,Matches,Bournemouth,37.0,,,,,,,,,,,,,,,,0.0,43.0,13.0,30.2,1.33,0.4,0.0,0.0,20.0,0.0,0.0,0.0,2.3,2.3,0.05,-2.3,-2.3,988.0,1300.0,76.0,18802.0,5120.0,399.0,467.0,85.4,425.0,510.0,83.3,143.0,253.0,56.5,5.0,5.4,5.4,-0.4,55.0,118.0,42.0,7.0,167.0,1217.0,78.0,22.0,17.0,18.0,73.0,2.0,30.0,29.0,0.0,0.0,988.0,5.0,26.0,117.0,3.62,88.0,8.0,7.0,5.0,6.0,3.0,6.0,0.19,5.0,1.0,0.0,0.0,0.0,0.0,86,44,34,35,17,39,92,42.4,53,52,11,41,52,138,53,1
Neto,br BRA,GK,34.0,,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,32.0,55.0,1.72,165.0,110.0,69.7,10.0,9.0,13.0,7.0,21.9,6.0,5.0,1.0,0.0,16.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,692.0,1060.0,65.3,20318.0,15023.0,95.0,97.0,97.9,360.0,371.0,97.0,236.0,585.0,40.3,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,749.0,307.0,84.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,4.0,2.0,5.0,0.16,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,12,3
