Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,team,Unnamed: 4_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
Leon Chiwome,eng ENG,FW,17.0,,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Wolves,3.0
Nathan Fraser,ie IRL,FW,18.0,,1,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,1.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.19,0.16,0.19,Matches,Wolves,7.0
Sasa Kalajdzic,at AUT,FW,26.0,,1,166.0,1.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.1,1.1,1.0,2.0,1.0,5.0,9.0,1.08,0.0,1.08,1.08,1.08,0.57,0.52,1.09,0.57,1.09,Matches,Wolves,11.0
Tawanda Chirewa,zw ZIM,"MF,FW",19.0,,1,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,Matches,Wolves,8.0
Jonny Castro,es ESP,MF,29.0,,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Wolves,1.0
Enso Gonzalez,py PAR,"MF,DF",18.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Wolves,1.0
Ty Barnett,eng ENG,MF,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Harvey Griffiths,eng ENG,MF,19.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Owen Hesketh,wls WAL,MF,20.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Joseph Hodge,ie IRL,MF,20.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Fletcher Holman,eng ENG,FW,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Justin Hubner,id IDN,DF,19.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Tom King,wls WAL,GK,28.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Noha Lemina,fr FRA,FW,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Yerson Mosquera,co COL,DF,22.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Temple Ojinnaka,it ITA,MF,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Wesley Okoduwa,eng ENG,FW,15.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Matthew Whittingham,eng ENG,MF,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolves,0.0
Squad Total,,,26.6,,418,3420.0,38.0,47.0,36.0,83.0,43.0,4.0,4.0,102.0,4.0,46.7,43.6,31.8,75.4,671.0,1180.0,1163.0,1.24,0.95,2.18,1.13,2.08,1.23,0.84,2.07,1.15,1.98,,Wolves,38.0
Opponent Total,,,26.4,,418,3420.0,38.0,64.0,43.0,107.0,56.0,8.0,8.0,84.0,3.0,67.7,61.4,48.0,109.5,734.0,1742.0,1726.0,1.68,1.13,2.82,1.47,2.61,1.78,1.26,3.05,1.62,2.88,,Wolves,38.0
Jordan Pickford,eng ENG,GK,29.0,,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,38.0
James Tarkowski,eng ENG,DF,30.0,,38,3419.0,38.0,1.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,2.6,2.6,2.5,5.1,15.0,130.0,20.0,0.03,0.03,0.05,0.03,0.05,0.07,0.06,0.13,0.07,0.13,Matches,Everton,38.0
Jarrad Branthwaite,eng ENG,DF,21.0,,35,3116.0,34.6,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,1.7,1.7,1.0,2.8,2.0,74.0,6.0,0.09,0.0,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08,Matches,Everton,35.0
James Garner,eng ENG,MF,22.0,,34,3004.0,33.4,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,2.7,2.7,4.6,7.3,36.0,100.0,76.0,0.03,0.06,0.09,0.03,0.09,0.08,0.14,0.22,0.08,0.22,Matches,Everton,37.0
Dwight McNeil,eng ENG,"MF,FW",23.0,,33,2892.0,32.1,3.0,6.0,9.0,3.0,0.0,0.0,2.0,0.0,3.4,3.4,8.8,12.2,80.0,114.0,147.0,0.09,0.19,0.28,0.09,0.28,0.11,0.27,0.38,0.11,0.38,Matches,Everton,35.0
Abdoulaye Doucouré,ml MLI,"FW,MF",30.0,,32,2629.0,29.2,7.0,1.0,8.0,7.0,0.0,0.0,7.0,0.0,8.8,8.8,2.9,11.6,55.0,97.0,140.0,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,Matches,Everton,32.0
Vitaliy Mykolenko,ua UKR,DF,24.0,,28,2469.0,27.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.9,2.4,14.0,55.0,68.0,0.07,0.0,0.07,0.07,0.07,0.06,0.03,0.09,0.06,0.09,Matches,Everton,28.0
Ashley Young,eng ENG,"DF,MF",38.0,,27,2280.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.6,0.6,1.5,2.1,40.0,82.0,61.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches,Everton,31.0
Dominic Calvert-Lewin,eng ENG,FW,26.0,,26,2171.0,24.1,7.0,2.0,9.0,5.0,2.0,2.0,2.0,0.0,12.9,11.4,3.1,14.5,36.0,31.0,122.0,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.6,Matches,Everton,32.0
Jack Harrison,eng ENG,"MF,FW",26.0,,25,2214.0,24.6,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,3.6,3.6,3.4,7.0,65.0,62.0,135.0,0.12,0.12,0.24,0.12,0.24,0.14,0.14,0.28,0.14,0.28,Matches,Everton,29.0
Idrissa Gana Gueye,sn SEN,MF,33.0,,24,1884.0,20.9,4.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,1.3,1.3,1.1,2.4,29.0,83.0,41.0,0.19,0.0,0.19,0.19,0.19,0.06,0.05,0.12,0.06,0.12,Matches,Everton,25.0
Amadou Onana,be BEL,MF,21.0,,23,2091.0,23.2,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,2.7,4.7,21.0,107.0,39.0,0.09,0.0,0.09,0.09,0.09,0.09,0.11,0.2,0.09,0.2,Matches,Everton,30.0
Ben Godfrey,eng ENG,DF,25.0,,13,1120.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.7,1.7,0.3,2.0,11.0,43.0,26.0,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.16,0.14,0.16,Matches,Everton,15.0
Nathan Patterson,sct SCO,DF,21.0,,9,1005.0,11.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.7,2.0,17.0,38.0,39.0,0.0,0.18,0.18,0.0,0.18,0.03,0.15,0.18,0.03,0.18,Matches,Everton,20.0
Beto,gw GNB,FW,25.0,,9,951.0,10.6,3.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,6.8,6.0,0.9,6.9,14.0,14.0,58.0,0.28,0.0,0.28,0.28,0.28,0.64,0.09,0.73,0.57,0.66,Matches,Everton,30.0
Séamus Coleman,ie IRL,DF,34.0,,7,665.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,Everton,12.0
Arnaut Danjuma,nl NED,"MF,FW",26.0,,5,595.0,6.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.6,2.6,1.1,3.7,24.0,9.0,44.0,0.15,0.0,0.15,0.15,0.15,0.4,0.17,0.57,0.4,0.57,Matches,Everton,14.0
Michael Keane,eng ENG,DF,30.0,,4,439.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.0,0.7,4.0,14.0,3.0,0.21,0.0,0.21,0.21,0.21,0.14,0.0,0.14,0.14,0.14,Matches,Everton,9.0
André Gomes,pt POR,"MF,FW",30.0,,3,508.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.4,0.7,8.0,36.0,29.0,0.18,0.0,0.18,0.18,0.18,0.05,0.07,0.13,0.05,0.13,Matches,Everton,12.0
Alex Iwobi,ng NGA,MF,27.0,,2,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,6.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.21,0.14,0.35,0.21,0.35,Matches,Everton,2.0
Lewis Dobbin,eng ENG,MF,20.0,,1,232.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,6.0,3.0,20.0,0.39,0.0,0.39,0.39,0.39,0.11,0.19,0.3,0.11,0.3,Matches,Everton,12.0
Youssef Chermiti,pt POR,FW,19.0,,1,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.8,1.5,5.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.31,0.34,0.65,0.31,0.65,Matches,Everton,18.0
Neal Maupay,fr FRA,FW,26.0,,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,1.5,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.16,0.05,1.22,1.16,1.22,Matches,Everton,2.0
Thomas Cannon,ie IRL,FW,20.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,1.0
Tyler Onyango,eng ENG,MF,20.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,1.0
Lewis Warrington,eng ENG,FW,20.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,1.0
Elijah Campbell,eng ENG,DF,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,0.0
William Crellin,eng ENG,GK,23.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,0.0
Mackenzie Hunt,ae UAE,DF,21.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,0.0
Andy Lonergan,ie IRL,GK,39.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,0.0
Jenson Metcalfe,eng ENG,MF,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,0.0
João Virgínia,pt POR,GK,23.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,0.0
Squad Total,,,27.1,,418,3420.0,38.0,40.0,17.0,57.0,38.0,2.0,3.0,82.0,1.0,54.0,51.6,38.1,89.8,495.0,1129.0,1119.0,1.05,0.45,1.5,1.0,1.45,1.42,1.0,2.43,1.36,2.36,,Everton,38.0
Opponent Total,,,26.3,,418,3420.0,38.0,48.0,30.0,78.0,40.0,8.0,8.0,61.0,2.0,55.2,49.1,37.3,86.5,790.0,1642.0,1624.0,1.26,0.79,2.05,1.05,1.84,1.45,0.98,2.43,1.29,2.28,,Everton,38.0
Mark Flekken,nl NED,GK,30.0,37.0,37,3285.0,36.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.5,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches,Brentford,
Vitaly Janelt,de GER,"MF,DF",25.0,38.0,37,3054.0,33.9,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,1.8,1.8,4.8,6.5,25.0,123.0,81.0,0.03,0.09,0.12,0.03,0.12,0.05,0.14,0.19,0.05,0.19,Matches,Brentford,
Christian Nørgaard,dk DEN,MF,29.0,31.0,30,2505.0,27.8,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,3.5,3.5,1.9,5.4,15.0,161.0,42.0,0.07,0.04,0.11,0.07,0.11,0.12,0.07,0.19,0.12,0.19,Matches,Brentford,
Nathan Collins,ie IRL,DF,22.0,32.0,29,2652.0,29.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,2.2,3.9,11.0,97.0,18.0,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13,Matches,Brentford,
Yoane Wissa,cd COD,FW,26.0,34.0,29,2493.0,27.7,12.0,3.0,15.0,12.0,0.0,0.0,7.0,0.0,10.6,10.6,3.9,14.5,45.0,48.0,150.0,0.43,0.11,0.54,0.43,0.54,0.38,0.14,0.52,0.38,0.52,Matches,Brentford,
Ethan Pinnock,jm JAM,DF,30.0,29.0,28,2521.0,28.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,11.0,61.0,16.0,0.07,0.0,0.07,0.07,0.07,0.07,0.04,0.11,0.07,0.11,Matches,Brentford,
Mathias Jensen,dk DEN,MF,27.0,32.0,27,2204.0,24.5,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,0.7,0.7,4.0,4.7,19.0,123.0,66.0,0.12,0.12,0.25,0.12,0.25,0.03,0.16,0.19,0.03,0.19,Matches,Brentford,
Mads Roerslev,dk DEN,DF,24.0,34.0,22,1985.0,22.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.8,2.7,18.0,43.0,90.0,0.05,0.09,0.14,0.05,0.14,0.04,0.08,0.12,0.04,0.12,Matches,Brentford,
Bryan Mbeumo,cm CMR,FW,23.0,25.0,22,1960.0,21.8,9.0,6.0,15.0,6.0,3.0,3.0,2.0,0.0,9.8,7.4,4.6,12.1,74.0,88.0,195.0,0.41,0.28,0.69,0.28,0.55,0.45,0.21,0.66,0.34,0.55,Matches,Brentford,
Kristoffer Ajer,no NOR,DF,25.0,28.0,21,1832.0,20.4,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.3,1.3,2.3,3.6,22.0,61.0,31.0,0.1,0.05,0.15,0.1,0.15,0.06,0.11,0.18,0.06,0.18,Matches,Brentford,
Ivan Toney,eng ENG,FW,27.0,17.0,16,1450.0,16.1,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,6.0,6.0,1.5,7.4,23.0,40.0,98.0,0.25,0.12,0.37,0.25,0.37,0.37,0.09,0.46,0.37,0.46,Matches,Brentford,
Keane Lewis-Potter,eng ENG,"FW,DF",22.0,30.0,15,1441.0,16.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,6.3,6.3,1.7,8.0,56.0,32.0,135.0,0.19,0.06,0.25,0.19,0.25,0.39,0.11,0.5,0.39,0.5,Matches,Brentford,
Ben Mee,eng ENG,DF,33.0,16.0,15,1272.0,14.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.5,1.5,0.3,1.8,11.0,49.0,9.0,0.14,0.0,0.14,0.14,0.14,0.1,0.02,0.13,0.1,0.13,Matches,Brentford,
Sergio Reguilón,es ESP,DF,26.0,16.0,14,1118.0,12.4,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,0.8,0.8,2.8,3.6,34.0,38.0,40.0,0.0,0.32,0.32,0.0,0.32,0.06,0.23,0.29,0.06,0.29,Matches,Brentford,
Neal Maupay,fr FRA,FW,26.0,29.0,13,1321.0,14.7,6.0,3.0,9.0,6.0,0.0,0.0,8.0,0.0,5.7,5.7,2.3,8.1,21.0,37.0,91.0,0.41,0.2,0.61,0.41,0.61,0.39,0.16,0.55,0.39,0.55,Matches,Brentford,
Mathias Jørgensen,dk DEN,DF,33.0,14.0,12,1087.0,12.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.9,1.7,5.0,50.0,4.0,0.08,0.0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,Matches,Brentford,
Frank Onyeka,ng NGA,MF,25.0,26.0,11,1161.0,12.9,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,2.2,2.2,1.8,4.0,17.0,33.0,39.0,0.08,0.16,0.23,0.08,0.23,0.17,0.14,0.31,0.17,0.31,Matches,Brentford,
Aaron Hickey,sct SCO,DF,21.0,9.0,9,713.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.1,0.3,9.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,Brentford,
Mikkel Damsgaard,dk DEN,MF,23.0,23.0,7,842.0,9.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.4,2.4,16.0,61.0,32.0,0.0,0.21,0.21,0.0,0.21,0.1,0.16,0.25,0.1,0.25,Matches,Brentford,
Saman Ghoddos,ir IRN,DF,29.0,19.0,7,739.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,1.1,1.4,22.0,36.0,31.0,0.12,0.0,0.12,0.12,0.12,0.04,0.13,0.17,0.04,0.17,Matches,Brentford,
Yehor Yarmoliuk,ua UKR,MF,19.0,27.0,6,688.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.1,1.1,13.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.14,0.13,0.14,Matches,Brentford,
Rico Henry,eng ENG,DF,26.0,5.0,5,401.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.0,1.1,13.0,20.0,12.0,0.0,0.22,0.22,0.0,0.22,0.02,0.22,0.24,0.02,0.24,Matches,Brentford,
Kevin Schade,de GER,"FW,MF",21.0,11.0,3,333.0,3.7,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,1.9,8.0,9.0,23.0,0.54,0.27,0.81,0.54,0.81,0.32,0.19,0.52,0.32,0.52,Matches,Brentford,
Shandon Baptiste,gd GRN,MF,25.0,10.0,2,229.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,1.1,3.0,5.0,1.0,0.39,0.39,0.79,0.39,0.79,0.35,0.08,0.43,0.35,0.43,Matches,Brentford,
Thomas Strakosha,al ALB,GK,28.0,2.0,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,
Michael Olakigbe,eng ENG,"DF,FW",19.0,8.0,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,10.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches,Brentford,
Josh Dasilva,eng ENG,"DF,FW",24.0,3.0,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,0.72,Matches,Brentford,
Myles Peart-Harris,eng ENG,"DF,MF",20.0,3.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Brentford,
Val Adedokun,ie IRL,FW,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Vincent Angelini,sct SCO,GK,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Benjamin Arthur,eng ENG,DF,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Ellery Balcombe,eng ENG,GK,23.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Ethan Brierley,eng ENG,MF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Yunus Emre Konak,tr TUR,MF,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Benjamin Fredrick,ng NGA,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Charlie Goode,eng ENG,DF,27.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Kim Jisoo,kr KOR,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Hákon Rafn Valdimarsson,is ISL,GK,21.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Ryan Trevitt,eng ENG,MF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Squad Total,,,26.6,38.0,418,3420.0,38.0,54.0,38.0,92.0,51.0,3.0,3.0,89.0,2.0,58.2,56.0,42.7,98.8,505.0,1283.0,1276.0,1.42,1.0,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.6,,Brentford,
Opponent Total,,,26.1,38.0,418,3420.0,38.0,65.0,50.0,115.0,63.0,2.0,2.0,75.0,4.0,56.0,54.4,43.6,98.0,847.0,1585.0,1568.0,1.71,1.32,3.03,1.66,2.97,1.47,1.15,2.62,1.43,2.58,,Brentford,
Morgan Gibbs-White,eng ENG,"MF,FW",23.0,,35,3156.0,35.1,5.0,10.0,15.0,4.0,1.0,1.0,9.0,0.0,6.9,6.1,8.4,14.6,80.0,170.0,181.0,0.14,0.29,0.43,0.11,0.4,0.2,0.24,0.44,0.17,0.42,Matches,Nott'ham Forest,37.0
Murillo,br BRA,DF,21.0,,32,2789.0,31.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.8,1.8,1.2,3.0,22.0,89.0,7.0,0.0,0.06,0.06,0.0,0.06,0.06,0.04,0.1,0.06,0.1,Matches,Nott'ham Forest,32.0
Anthony Elanga,se SWE,"FW,MF",21.0,,25,2433.0,27.0,5.0,9.0,14.0,5.0,0.0,0.0,1.0,0.0,6.6,6.6,6.7,13.3,98.0,49.0,196.0,0.18,0.33,0.52,0.18,0.52,0.24,0.25,0.49,0.24,0.49,Matches,Nott'ham Forest,36.0
Ryan Yates,eng ENG,MF,25.0,,21,1992.0,22.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,0.8,3.5,18.0,73.0,37.0,0.05,0.05,0.09,0.05,0.09,0.12,0.04,0.16,0.12,0.16,Matches,Nott'ham Forest,35.0
Callum Hudson-Odoi,eng ENG,"FW,MF",22.0,,20,1854.0,20.6,8.0,1.0,9.0,8.0,0.0,0.0,0.0,0.0,2.7,2.7,2.8,5.5,111.0,58.0,171.0,0.39,0.05,0.44,0.39,0.44,0.13,0.14,0.27,0.13,0.27,Matches,Nott'ham Forest,29.0
Chris Wood,nz NZL,FW,31.0,,20,1812.0,20.1,14.0,1.0,15.0,14.0,0.0,0.0,0.0,0.0,11.9,11.9,2.1,14.0,16.0,30.0,76.0,0.7,0.05,0.75,0.7,0.75,0.59,0.1,0.7,0.59,0.7,Matches,Nott'ham Forest,31.0
Danilo,br BRA,MF,22.0,,20,1792.0,19.9,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.8,1.8,1.5,3.4,22.0,83.0,28.0,0.1,0.1,0.2,0.1,0.2,0.09,0.08,0.17,0.09,0.17,Matches,Nott'ham Forest,29.0
Ola Aina,ng NGA,DF,26.0,,20,1692.0,18.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.9,1.2,53.0,68.0,38.0,0.05,0.05,0.11,0.05,0.11,0.01,0.05,0.06,0.01,0.06,Matches,Nott'ham Forest,22.0
Orel Mangala,be BEL,MF,25.0,,19,1563.0,17.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.8,0.8,0.2,1.1,13.0,45.0,14.0,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,Matches,Nott'ham Forest,20.0
Nicolás Domínguez,ar ARG,"MF,FW",25.0,,19,1495.0,16.6,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.3,1.3,1.0,2.3,14.0,91.0,43.0,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14,Matches,Nott'ham Forest,26.0
Neco Williams,wls WAL,DF,22.0,,18,1637.0,18.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,1.6,2.5,48.0,47.0,86.0,0.0,0.05,0.05,0.0,0.05,0.04,0.09,0.13,0.04,0.13,Matches,Nott'ham Forest,26.0
Willy Boly,ci CIV,DF,32.0,,18,1438.0,16.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,1.5,1.5,1.3,2.8,4.0,32.0,3.0,0.13,0.06,0.19,0.13,0.19,0.09,0.08,0.18,0.09,0.18,Matches,Nott'ham Forest,20.0
Matt Turner,us USA,GK,29.0,,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nott'ham Forest,17.0
